Train on 60000 samples, validate on 10000 samples
Epoch 1/50

  128/60000 [..............................] - ETA: 3:51 - loss: 0.6962
  256/60000 [..............................] - ETA: 2:28 - loss: 0.6951
  384/60000 [..............................] - ETA: 1:55 - loss: 0.6942
  512/60000 [..............................] - ETA: 1:41 - loss: 0.6933
  640/60000 [..............................] - ETA: 1:27 - loss: 0.6925
  768/60000 [..............................] - ETA: 1:16 - loss: 0.6916
  896/60000 [..............................] - ETA: 1:09 - loss: 0.6905
 1024/60000 [..............................] - ETA: 1:03 - loss: 0.6892
 1152/60000 [..............................] - ETA: 58s - loss: 0.6876 
 1280/60000 [..............................] - ETA: 56s - loss: 0.6858
 1408/60000 [..............................] - ETA: 56s - loss: 0.6837
 1536/60000 [..............................] - ETA: 53s - loss: 0.6811
 1664/60000 [..............................] - ETA: 52s - loss: 0.6780
 1792/60000 [..............................] - ETA: 50s - loss: 0.6741
 1920/60000 [..............................] - ETA: 48s - loss: 0.6690
 2048/60000 [>.............................] - ETA: 47s - loss: 0.6626
 2176/60000 [>.............................] - ETA: 45s - loss: 0.6544
 2304/60000 [>.............................] - ETA: 44s - loss: 0.6443
 2432/60000 [>.............................] - ETA: 43s - loss: 0.6332
 2560/60000 [>.............................] - ETA: 42s - loss: 0.6231
 2688/60000 [>.............................] - ETA: 41s - loss: 0.6135
 2816/60000 [>.............................] - ETA: 40s - loss: 0.6044
 2944/60000 [>.............................] - ETA: 39s - loss: 0.5951
 3072/60000 [>.............................] - ETA: 39s - loss: 0.5863
 3200/60000 [>.............................] - ETA: 38s - loss: 0.5776
 3328/60000 [>.............................] - ETA: 37s - loss: 0.5692
 3456/60000 [>.............................] - ETA: 37s - loss: 0.5610
 3584/60000 [>.............................] - ETA: 36s - loss: 0.5530
 3712/60000 [>.............................] - ETA: 36s - loss: 0.5451
 3840/60000 [>.............................] - ETA: 35s - loss: 0.5381
 3968/60000 [>.............................] - ETA: 35s - loss: 0.5319
 4096/60000 [=>............................] - ETA: 34s - loss: 0.5252
 4224/60000 [=>............................] - ETA: 34s - loss: 0.5183
 4352/60000 [=>............................] - ETA: 33s - loss: 0.5120
 4480/60000 [=>............................] - ETA: 33s - loss: 0.5061
 4608/60000 [=>............................] - ETA: 33s - loss: 0.4999
 4736/60000 [=>............................] - ETA: 32s - loss: 0.4943
 4864/60000 [=>............................] - ETA: 32s - loss: 0.4890
 4992/60000 [=>............................] - ETA: 32s - loss: 0.4839
 5120/60000 [=>............................] - ETA: 31s - loss: 0.4789
 5248/60000 [=>............................] - ETA: 31s - loss: 0.4743
 5376/60000 [=>............................] - ETA: 31s - loss: 0.4698
 5504/60000 [=>............................] - ETA: 31s - loss: 0.4656
 5632/60000 [=>............................] - ETA: 30s - loss: 0.4610
 5760/60000 [=>............................] - ETA: 30s - loss: 0.4568
 5888/60000 [=>............................] - ETA: 30s - loss: 0.4527
 6016/60000 [==>...........................] - ETA: 30s - loss: 0.4488
 6144/60000 [==>...........................] - ETA: 29s - loss: 0.4452
 6272/60000 [==>...........................] - ETA: 29s - loss: 0.4419
 6400/60000 [==>...........................] - ETA: 29s - loss: 0.4385
 6528/60000 [==>...........................] - ETA: 29s - loss: 0.4351
 6656/60000 [==>...........................] - ETA: 29s - loss: 0.4316
 6784/60000 [==>...........................] - ETA: 28s - loss: 0.4284
 6912/60000 [==>...........................] - ETA: 28s - loss: 0.4250
 7040/60000 [==>...........................] - ETA: 28s - loss: 0.4217
 7168/60000 [==>...........................] - ETA: 28s - loss: 0.4186
 7296/60000 [==>...........................] - ETA: 28s - loss: 0.4157
 7424/60000 [==>...........................] - ETA: 28s - loss: 0.4128
 7552/60000 [==>...........................] - ETA: 27s - loss: 0.4101
 7680/60000 [==>...........................] - ETA: 27s - loss: 0.4076
 7808/60000 [==>...........................] - ETA: 27s - loss: 0.4051
 7936/60000 [==>...........................] - ETA: 27s - loss: 0.4026
 8064/60000 [===>..........................] - ETA: 27s - loss: 0.4002
 8192/60000 [===>..........................] - ETA: 27s - loss: 0.3975
 8320/60000 [===>..........................] - ETA: 27s - loss: 0.3950
 8448/60000 [===>..........................] - ETA: 26s - loss: 0.3925
 8576/60000 [===>..........................] - ETA: 26s - loss: 0.3901
 8704/60000 [===>..........................] - ETA: 26s - loss: 0.3880
 8832/60000 [===>..........................] - ETA: 26s - loss: 0.3860
 8960/60000 [===>..........................] - ETA: 26s - loss: 0.3839
 9088/60000 [===>..........................] - ETA: 26s - loss: 0.3819
 9216/60000 [===>..........................] - ETA: 26s - loss: 0.3800
 9344/60000 [===>..........................] - ETA: 25s - loss: 0.3780
 9472/60000 [===>..........................] - ETA: 25s - loss: 0.3759
 9600/60000 [===>..........................] - ETA: 25s - loss: 0.3738
 9728/60000 [===>..........................] - ETA: 25s - loss: 0.3717
 9856/60000 [===>..........................] - ETA: 25s - loss: 0.3699
 9984/60000 [===>..........................] - ETA: 25s - loss: 0.3681
10112/60000 [====>.........................] - ETA: 25s - loss: 0.3663
10240/60000 [====>.........................] - ETA: 25s - loss: 0.3646
10368/60000 [====>.........................] - ETA: 25s - loss: 0.3630
10496/60000 [====>.........................] - ETA: 24s - loss: 0.3615
10624/60000 [====>.........................] - ETA: 24s - loss: 0.3601
10752/60000 [====>.........................] - ETA: 24s - loss: 0.3585
10880/60000 [====>.........................] - ETA: 24s - loss: 0.3570
11008/60000 [====>.........................] - ETA: 24s - loss: 0.3555
11136/60000 [====>.........................] - ETA: 24s - loss: 0.3539
11264/60000 [====>.........................] - ETA: 24s - loss: 0.3523
11392/60000 [====>.........................] - ETA: 24s - loss: 0.3508
11520/60000 [====>.........................] - ETA: 24s - loss: 0.3494
11648/60000 [====>.........................] - ETA: 24s - loss: 0.3481
11776/60000 [====>.........................] - ETA: 23s - loss: 0.3468
11904/60000 [====>.........................] - ETA: 23s - loss: 0.3456
12032/60000 [=====>........................] - ETA: 23s - loss: 0.3442
12160/60000 [=====>........................] - ETA: 23s - loss: 0.3429
12288/60000 [=====>........................] - ETA: 23s - loss: 0.3416
12416/60000 [=====>........................] - ETA: 23s - loss: 0.3404
12544/60000 [=====>........................] - ETA: 23s - loss: 0.3391
12672/60000 [=====>........................] - ETA: 23s - loss: 0.3378
12800/60000 [=====>........................] - ETA: 23s - loss: 0.3367
12928/60000 [=====>........................] - ETA: 23s - loss: 0.3356
13056/60000 [=====>........................] - ETA: 22s - loss: 0.3345
